Id,Label,timeset,modularity_class,indegree,outdegree,Degree,weighted indegree,weighted outdegree,Weighted Degree,harmonicclosnesscentrality,betweenesscentrality
nm0001538,Jonny Lee Miller,,14,1,0,1,2,0,2,0,0
nm2132319,Andreea Paduraru,,14,1,0,1,1,0,1,0,0
nm2119840,Ella Smith,,14,1,0,1,1,0,1,0,0
nm0564215,James McAvoy,,17,2,0,2,3,0,3,0,0
nm0001993,Vincent Cassel,,14,1,0,1,1,0,1,0,0
nm0764527,Danny Sapani,,14,1,0,1,1,0,1,0,0
nm1055413,Michael Fassbender,,14,1,0,1,1,0,1,0,0
nm0736622,Seth Rogen,,14,1,0,1,1,0,1,0,0
nm9012283,Darius Alexander,,14,1,0,1,1,0,1,0,0
nm5450322,Kirstie Abbott,,14,1,0,1,1,0,1,0,0
nm5046755,Afia Abusham,,14,1,0,1,1,0,1,0,0
nm5359290,Sarah Jane Adams,,14,1,0,1,1,0,1,0,0
nm0001971,Ewen Bremner,,14,1,0,1,1,0,1,0,0
nm0001015,Robert Carlyle,,14,1,0,1,1,0,1,0,0
nm4141252,Lily James,,14,1,0,1,1,0,1,0,0
nm1620545,Sophia Di Martino,,14,1,0,1,1,0,1,0,0
nm7966281,Ellise Chappell,,14,1,0,1,1,0,1,0,0
nm0001054,Joel Coen,,1,0,50,50,0,64,64,1,0
nm0315288,John Getz,,1,1,0,1,1,0,1,0,0
nm0000531,Frances McDormand,,1,1,0,1,4,0,4,0,0
nm0000445,Dan Hedaya,,1,1,0,1,1,0,1,0,0
nm0001826,M. Emmet Walsh,,1,1,0,1,1,0,1,0,0
nm0934254,Trey Wilson,,1,1,0,1,1,0,1,0,0
nm0001806,John Turturro,,1,1,0,1,2,0,2,0,0
nm0001114,Judy Davis,,1,1,0,1,1,0,1,0,0
nm0503627,Michael Lerner,,1,1,0,1,1,0,1,0,0
nm0001164,Charles Durning,,1,1,0,1,1,0,1,0,0
nm0000123,George Clooney,,1,1,0,1,3,0,3,0,0
nm0625789,Tim Blake Nelson,,1,1,0,1,2,0,2,0,0
nm0000671,Billy Bob Thornton,,1,1,0,1,1,0,1,0,0
nm0045937,Michael Badalucco,,1,1,0,1,1,0,1,0,0
nm0001254,James Gandolfini,,1,1,0,1,1,0,1,0,0
nm0005541,Marlon Wayans,,1,1,0,1,1,0,1,0,0
nm0355659,Irma P. Hall,,1,1,0,1,1,0,1,0,0
nm0799777,J.K. Simmons,,1,1,0,1,1,0,1,0,0
nm0000169,Tommy Lee Jones,,1,1,0,1,1,0,1,0,0
nm0000437,Woody Harrelson,,1,1,0,1,1,0,1,0,0
nm0000243,Denzel Washington,,16,2,0,2,2,0,2,0,0
nm0322407,Brendan Gleeson,,1,1,0,1,1,0,1,0,0
nm0577982,Harry Melling,,1,1,0,1,1,0,1,0,0
nm0454236,Richard Kind,,1,1,0,1,1,0,1,0,0
nm3102689,Sari Lennick,,1,1,0,1,1,0,1,0,0
nm0577329,Fred Melamed,,1,1,0,1,1,0,1,0,0
nm2794962,Hailee Steinfeld,,1,1,0,1,1,0,1,0,0
nm1209966,Oscar Isaac,,1,1,0,1,1,0,1,0,0
nm1659547,Carey Mulligan,,1,1,0,1,1,0,1,0,0
nm1330560,Garrett Hedlund,,1,1,0,1,1,0,1,0,0
nm8594382,Mark Zimering,,1,1,0,1,2,0,2,0,0
nm0001053,Ethan Coen,,1,1,0,1,2,0,2,0,0
nm0914929,Willie Watson,,1,1,0,1,1,0,1,0,0
